"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","sys_recver","sys_deleted","sys_lock","uf_cve","uf_nombre","uf_descripcion"
"73","2016-01-01 12:00:00","803fb3dc168c43418d5c5a26fc73fb21","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"633","STERLING","Sterling Casa de Cambio, S.A. de C.V."
"74","2016-01-01 12:00:00","3668d567fdb04d1e9c8b5bab6c648a53","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"634","FINCOMUN","Fincomún, Servicios Financieros Comunitarios, S.A. de C.V."
"75","2016-01-01 12:00:00","6407afbc74254ac3bc1ecf27652239ed","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"636","HDI SEGUROS","HDI Seguros, S.A. de C.V."
"76","2016-01-01 12:00:00","1afec8d78faf44648e0aee5400c1d57e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"637","ORDER","Order Express Casa de Cambio, S.A. de C.V"
"77","2016-01-01 12:00:00","a50fe64159cc4a7eafbb7ded68692bec","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"638","AKALA","Akala, S.A. de C.V., Sociedad Financiera Popular"
"78","2016-01-01 12:00:00","f0b6064bfb1d41e89ec5a1d8d1ecc7b9","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"640","CB JPMORGAN","J.P. Morgan Casa de Bolsa, S.A. de C.V. J.P. Morgan Grupo Financiero"
"79","2016-01-01 12:00:00","1086930efb444f57a9e143985009dcab","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"642","REFORMA","Operadora de Recursos Reforma, S.A. de C.V., S.F.P."
"80","2016-01-01 12:00:00","8c88b3d2018747bb98a7b07f86271799","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"646","STP","Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR"
"81","2016-01-01 12:00:00","b9fd2185a19a47fda50cc3620f90c55e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"647","TELECOMM","Telecomunicaciones de México"
"82","2016-01-01 12:00:00","2aa2706ff2e74d0db8d714a2bb2b661c","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"648","EVERCORE","Evercore Casa de Bolsa, S.A. de C.V."
"83","2016-01-01 12:00:00","44e6093510eb4c35a8e92286d7d56b83","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"649","SKANDIA","Skandia Operadora de Fondos, S.A. de C.V."
"84","2016-01-01 12:00:00","1f833dce40b248ab819981d6637d063e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"651","SEGMTY","Seguros Monterrey New York Life, S.A de C.V"
"85","2016-01-01 12:00:00","06c0f8fdf87841a8b4b6736d5de86225","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"652","ASEA","Solución Asea, S.A. de C.V., Sociedad Financiera Popular"
"86","2016-01-01 12:00:00","f5bcfdb47ab44f66bb9fa0826e57b6c5","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"653","KUSPIT","Kuspit Casa de Bolsa, S.A. de C.V."
"87","2016-01-01 12:00:00","5d3a5405d7b94758bf1d351c3802d1d7","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"655","SOFIEXPRESS","J.P. SOFIEXPRESS, S.A. de C.V., S.F.P."
"88","2016-01-01 12:00:00","d538a7bad09a4697af9d4751f6988781","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"656","UNAGRA","UNAGRA, S.A. de C.V., S.F.P."
"89","2016-01-01 12:00:00","cc0c8cb99eab48d5820cc016603732ea","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"659","OPCIONES EMPRESARIALES DEL NOROESTE","OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P."
"90","2016-01-01 12:00:00","c1bfe6a42b7249bbb926abb2f5d54ef1","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"901","CLS","Cls Bank International"
"91","2016-01-01 12:00:00","2f444704503d4a8f926b105d854516b3","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"902","INDEVAL","SD. Indeval, S.A. de C.V."
"92","2016-01-01 12:00:00","f1d3619652ae427b8459cfaac8678ec9","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"670","LIBERTAD","Libertad Servicios Financieros, S.A. De C.V."
"93","2016-01-01 12:00:00","6d64adf5c0614edb9397b748dc06152b","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"999","N/A",""
